iter	Passed	Remaining
0	67	67587
1	77	38671
2	87	29206
3	99	24717
4	108	21666
5	118	19696
6	131	18595
7	142	17661
8	153	16886
9	163	16156
10	175	15789
11	187	15396
12	199	15119
13	212	14967
14	224	14766
15	235	14490
16	245	14214
17	257	14068
18	268	13877
19	279	13679
20	291	13573
21	301	13413
22	314	13374
23	325	13240
24	337	13179
25	349	13106
26	360	12989
27	371	12908
28	382	12795
29	393	12707
30	405	12660
31	415	12573
32	430	12622
33	445	12655
34	460	12699
35	473	12680
36	485	12642
37	497	12587
38	510	12567
39	520	12494
40	530	12416
41	543	12386
42	553	12315
43	564	12258
44	581	12343
45	597	12390
46	611	12401
47	626	12431
48	639	12407
49	650	12351
50	661	12306
51	673	12274
52	685	12242
53	698	12234
54	710	12201
55	721	12160
56	735	12165
57	746	12131
58	762	12154
59	776	12169
60	789	12160
61	804	12170
62	818	12167
63	832	12181
64	847	12193
65	862	12202
66	878	12232
67	895	12272
68	911	12304
69	928	12333
70	944	12359
71	960	12373
72	973	12358
73	986	12341
74	1000	12343
75	1016	12355
76	1031	12361
77	1048	12398
78	1065	12425
79	1082	12448
80	1097	12448
81	1110	12432
82	1126	12450
83	1143	12465
84	1158	12474
85	1173	12470
86	1188	12472
87	1206	12502
88	1222	12512
89	1236	12499
90	1250	12493
91	1267	12509
92	1284	12529
93	1301	12541
94	1317	12554
95	1331	12536
96	1345	12527
97	1362	12543
98	1379	12557
99	1393	12545
100	1408	12540
101	1425	12549
102	1442	12566
103	1460	12579
104	1475	12573
105	1488	12554
106	1502	12542
107	1518	12537
108	1537	12566
109	1556	12594
110	1574	12608
111	1591	12618
112	1607	12617
113	1627	12649
114	1644	12657
115	1661	12660
116	1676	12651
117	1691	12645
118	1709	12652
119	1726	12659
120	1744	12672
121	1767	12716
122	1785	12728
123	1807	12768
124	1827	12794
125	1848	12821
126	1865	12824
127	1883	12829
128	1898	12821
129	1916	12823
130	1934	12833
131	1950	12827
132	1964	12807
133	1978	12786
134	1991	12760
135	2006	12748
136	2020	12727
137	2034	12705
138	2047	12682
139	2062	12671
140	2076	12650
141	2091	12635
142	2107	12630
143	2123	12625
144	2142	12630
145	2157	12621
146	2172	12604
147	2184	12577
148	2199	12562
149	2216	12557
150	2232	12554
151	2251	12563
152	2273	12587
153	2290	12582
154	2307	12580
155	2326	12587
156	2343	12584
157	2359	12571
158	2393	12659
159	2414	12675
160	2432	12674
161	2449	12670
162	2465	12660
163	2481	12649
164	2497	12640
165	2513	12630
166	2531	12626
167	2547	12618
168	2564	12609
169	2581	12602
170	2600	12605
171	2619	12607
172	2636	12603
173	2654	12601
174	2675	12611
175	2753	12890
176	2811	13074
177	2902	13402
178	3011	13810
179	3085	14055
180	3119	14117
181	3145	14139
182	3181	14202
183	3211	14242
184	3239	14272
185	3267	14300
186	3291	14312
187	3314	14317
188	3344	14349
189	3369	14364
190	3390	14359
191	3411	14354
192	3433	14355
193	3449	14331
194	3463	14296
195	3477	14265
196	3492	14235
197	3506	14202
198	3519	14168
199	3534	14138
200	3549	14109
201	3563	14078
202	3580	14058
203	3596	14031
204	3613	14014
205	3630	13994
206	3648	13975
207	3664	13953
208	3683	13939
209	3706	13945
210	3726	13934
211	3746	13926
212	3771	13933
213	3789	13919
214	3806	13899
215	3826	13888
216	3843	13869
217	3866	13871
218	3887	13863
219	3906	13852
220	3925	13836
221	3944	13822
222	3962	13808
223	3984	13802
224	4003	13791
225	4021	13773
226	4039	13755
227	4056	13735
228	4075	13720
229	4101	13730
230	4396	14637
231	4474	14813
232	4495	14799
233	4514	14779
234	4534	14761
235	4554	14744
236	4573	14723
237	4595	14713
238	4615	14696
239	4634	14676
240	4654	14657
241	4672	14635
242	4694	14623
243	4711	14597
244	4726	14566
245	4744	14540
246	4760	14514
247	4777	14486
248	4793	14457
249	4808	14425
250	4823	14392
251	4844	14379
