Combination	PEN Distance(cancer genes)	PEN Distance(other genes)	PEN-diff	Distance(cancer genes)	Distance(other genes)	Distance-diff	ppr(cancer genes)	ppr(other genes)	ppr-diff
('CDK6', 'CDK4')	5.716694444444445	6.9637725609756025	1.2470781165311573	2.75	3.1772076372315037	0.4272076372315037	0.0014246303932068864	0.0003728093496786582	-0.0010518210435282282
('CDK6', 'CCND1')	5.969469444444445	7.510443666404406	1.540974221959961	2.40625	3.1740254574383453	0.7677754574383453	0.007085105015793378	0.0003326792722954891	-0.006752425743497889
('CDK6', 'CCND3')	6.554125000000001	7.908631628638858	1.3545066286388572	2.90625	3.4508750994431185	0.5446250994431185	0.001258910579809949	0.00037159814074086677	-0.0008873124390690822
('CDK6', 'CDKN2A')	5.965777777777777	7.2920620377655325	1.3262842599877551	2.59375	3.1422036595067624	0.5484536595067624	0.0017806643251948126	0.00037130690820988524	-0.0014093574169849275
('CDK6', 'NRAS')	6.147377777777778	7.473088611329668	1.3257108335518906	2.71875	3.280230708035004	0.5614807080350039	0.0012870314031030489	0.0003772069081698821	-0.0009098244949331668
('CDK6', 'CCND2')	6.717791666666668	8.04057256097561	1.3227808943089423	2.9375	3.477923627684964	0.5404236276849641	0.0012226677306424142	0.0003710538481890754	-0.0008516138824533388
('CDK6', 'SMARCA4')	6.091252777777779	7.558224744295821	1.4669719665180416	2.59375	3.2185759745425617	0.6248259745425617	0.0018113083190030128	0.0003718872942857363	-0.0014394210247172766
('CDK6', 'KRAS')	6.1833888888888895	7.454262981904007	1.2708740930151174	2.75	3.2782418456642803	0.5282418456642803	0.0013059344485336192	0.00037706339872516537	-0.0009288710498084539
('CDK4', 'CCND1')	5.661525	7.164320948072383	1.5027959480723831	2.34375	3.0803500397772474	0.7366000397772474	0.007146697842020437	0.00033119290359235796	-0.006815504938428079
('CDK4', 'CCND3')	6.246180555555556	7.5625089103068355	1.3163283547512794	2.84375	3.3571996817820207	0.5134496817820207	0.001320503406037008	0.00037011177203773556	-0.0009503916339992724
('CDK4', 'CDKN2A')	5.657833333333333	6.94593931943351	1.2881059861001773	2.53125	3.0485282418456645	0.5172782418456645	0.0018422571514218717	0.00036982053950675403	-0.0014724366119151177
('CDK4', 'NRAS')	5.839433333333333	7.126965892997646	1.2875325596643128	2.65625	3.186555290373906	0.5303052903739061	0.001348624229330108	0.00037572053946675096	-0.000972903689863357
('CDK4', 'CCND2')	6.409847222222223	7.6944498426435874	1.2846026204213645	2.875	3.384248210023866	0.5092482100238662	0.0012842605568694732	0.00036956747948594423	-0.000914693077383529
('CDK4', 'SMARCA4')	5.783308333333334	7.2121020259638	1.4287936926304656	2.53125	3.124900556881464	0.5936505568814638	0.0018729011452300718	0.0003704009255826051	-0.0015025002196474668
('CDK4', 'KRAS')	5.875444444444445	7.108140263571986	1.2326958191275414	2.6875	3.1845664280031825	0.49706642800318246	0.0013675272747606783	0.0003755770300220342	-0.000991950244738644
('CCND1', 'CCND3')	6.498955555555556	8.109180015735639	1.610224460180083	2.5	3.3540175019888623	0.8540175019888623	0.0069809780286235	0.0003299816946545665	-0.006650996333968933
('CCND1', 'CDKN2A')	5.910608333333332	7.492610424862313	1.582002091528981	2.1875	3.0453460620525057	0.8578460620525057	0.007502731774008364	0.00032969046212358495	-0.007173041311884779
('CCND1', 'NRAS')	6.092208333333333	7.673636998426449	1.5814286650931164	2.3125	3.1833731105807477	0.8708731105807477	0.0070090988519166	0.0003355904620835819	-0.006673508389833018
('CCND1', 'CCND2')	6.662622222222223	8.24112094807239	1.5784987258501681	2.53125	3.3810660302307083	0.8498160302307083	0.006944735179455965	0.00032943740210277515	-0.0066152977773531905
('CCND1', 'SMARCA4')	6.036083333333334	7.758773131392602	1.7226897980592684	2.1875	3.1217183770883055	0.9342183770883055	0.007533375767816564	0.000330270848199436	-0.007203104919617128
