Combination	PEN Distance(cancer genes)	PEN Distance(other genes)	PEN-diff	Distance(cancer genes)	Distance(other genes)	Distance-diff	ppr(cancer genes)	ppr(other genes)	ppr-diff
('CYP17A1', 'PTEN')	9.799077272727274	9.769548683613513	-0.029528589113761328	2.9	1.4461678832116789	-1.453832116788321	0.0004933453430021267	0.00026768389965181464	-0.00022566144335031202
('TUBA4A', 'IGF2')	10.289954545454545	10.267885860190905	-0.022068685263640475	3.0	1.562956204379562	-1.437043795620438	0.00023762474195145814	0.0002694949488954288	3.187020694397067e-05
('TUBA4A', 'TUB')	11.300022727272728	11.417874443940342	0.11785171666761407	4.0	2.068855449156407	-1.9311445508435932	0.00017155934112539044	0.0002695311758863524	9.797183476096196e-05
('IGF2', 'TUB')	9.077077272727273	9.172860304130737	0.09578303140346378	3.5	3.631811653535969	0.1318116535359688	0.0004091840830768486	0.000448240831999212	3.90567489223634e-05
('GNRHR', 'GNRHR2')	10.875377272727274	10.92610308670021	0.050725813972935185	4.0	2.0186958504331964	-1.9813041495668036	0.00015943530289659114	0.00026992252759642306	0.00011048722469983192
('TUBA4A', 'TUBA1B')	12.5129	12.512900000000508	5.080380560684716e-13		0.0		0.0	9.078529278256923e-05	9.078529278256923e-05
('TUBA4A', 'TUBA1A')	12.5129	12.512900000000508	5.080380560684716e-13		0.0		0.0	9.078529278256923e-05	9.078529278256923e-05
('TUBA4A', 'TUBA1C')	12.5129	12.512900000000508	5.080380560684716e-13		0.0		0.0	9.078529278256923e-05	9.078529278256923e-05
('TUBA4A', 'TUBB3')	12.5129	12.512900000000508	5.080380560684716e-13		0.0		0.0	9.078529278256923e-05	9.078529278256923e-05
('TUBA4A', 'SLC10A2')	10.118904545454546	10.101344575579013	-0.0175599698755331	3.4	1.7623175182481752	-1.6376824817518247	0.00011956688330323763	0.0002706137694126579	0.00015104688610942027
('TUBA4A', 'EPHX1')	11.406300000000002	11.449682001815958	0.04338200181595653	4.5	2.2746350364963503	-2.2253649635036497	0.0002162972600733118	0.0002699649568249288	5.3667696751616987e-05
('TUBA4A', 'RRM1')	12.5129	12.512900000000508	5.080380560684716e-13		0.0		0.0	9.078529278256923e-05	9.078529278256923e-05
('TUBA4A', 'IGF2')	10.289954545454545	10.267885860190905	-0.022068685263640475	3.0	1.562956204379562	-1.437043795620438	0.00023762474195145814	0.0002694949488954288	3.187020694397067e-05
('TUBA4A', 'BRD4')	11.068913636363636	11.064496345892229	-0.004417290471407043	3.6	1.7694938440492476	-1.8305061559507525	0.00016029862990750166	0.00027024052248263234	0.00010994189257513068
('TUBA4A', 'SOX10')	12.5129	12.512900000000508	5.080380560684716e-13		0.0		0.0	9.078529278256923e-05	9.078529278256923e-05
('TUBA4A', 'XRCC1')	12.5129	12.512900000000508	5.080380560684716e-13		0.0		0.0	9.078529278256923e-05	9.078529278256923e-05
('TUBA4A', 'ERCC2')	10.069118181818181	9.99965086246053	-0.06946731935765094	4.1	1.9098996350364963	-2.190100364963503	0.00013984030065123374	0.00027060357841455595	0.0001307632777633222
('TUBA4A', 'KLK3')	10.664200000000001	10.743406876986182	0.07920687698618067	3.6	1.842609489051095	-1.7573905109489052	0.001982035831876331	0.0002611447096673297	-0.0017208911222090012
('TUBA4A', 'BARD1')	10.99749090909091	11.0219418293239	0.024450920232990114	3.7	1.979014598540146	-1.7209854014598542	0.00027536496283797466	0.00026978806112251815	-5.5769017154565096e-06
('TUBA4A', 'HNF4A')	10.12129090909091	10.435729822968922	0.31443891387801237	3.2	1.8667883211678833	-1.3332116788321169	0.0010681314791695044	0.0002498015454550432	-0.0008183299337144612
('TUBA4A', 'SPG7')	11.471922727272727	11.477332977757865	0.00541025048513788	5.2	2.486548107615139	-2.713451892384861	0.0001038799923238098	0.0002703484415340932	0.0001664684492102834
('TUBA4A', 'XRCC4')	12.5129	12.512900000000508	5.080380560684716e-13		0.0		0.0	9.078529278256923e-05	9.078529278256923e-05
('TUBA4A', 'RNF8')	11.305759090909092	11.462892056287126	0.15713296537803423	4.4	2.2657390510948905	-2.13426094890511	0.00017186079265563107	0.0002700818744989337	9.822108184330262e-05
('TUBA4A', 'MAP3K1')	9.54544090909091	9.587143281888588	0.04170237279767797	2.5	1.416514598540146	-1.083485401459854	0.00039376176295067536	0.0002685554907454196	-0.00012520627220525578
('TUBA4A', 'BCL2')	9.958209090909092	9.97158812982322	0.013379038914127506	2.9	1.5467609489051095	-1.3532390510948904	0.00017563470210074956	0.0002697905725306812	9.415587042993162e-05
('TUBA4A', 'NR1I3')	10.391372727272728	10.462065342714732	0.07069261544200423	3.2	1.7007299270072993	-1.4992700729927009	0.00017777641930832795	0.00026867477855627424	9.089835924794629e-05
('TUBA4A', 'MDM4')	10.831645454545455	10.835287948252631	0.0036424937071757313	3.3	1.6640054744525548	-1.635994525547445	0.00026866737916086324	0.0002676160424435108	-1.0513367173524196e-06
('TUBA4A', 'FBXW7')	10.544663636363637	10.514698229687045	-0.029965406676591755	3.4	1.6912904696762425	-1.7087095303237574	0.00016288629185890073	0.000269084284053255	0.00010619799219435425
('TUBA4A', 'ACSS2')	11.438009090909091	11.478550204267169	0.04054111335807775	5.0	2.5609032846715327	-2.4390967153284673	0.00015207983483455243	0.00027052488348930153	0.0001184450486547491
('TUBA4A', 'PRDX4')	12.5129	12.512900000000508	5.080380560684716e-13		0.0		0.0	9.078529278256923e-05	9.078529278256923e-05
('TUBA4A', 'GAS6')	11.073604545454547	11.122259373581727	0.04865482812718014	4.3	2.147514819881441	-2.1524851801185587	0.0001380829054713373	0.00026976583249699174	0.00013168292702565445
('TUBA1B', 'TUBA1A')	12.5129	12.512900000000508	5.080380560684716e-13		0.0		0.0	9.078529278256923e-05	9.078529278256923e-05
('TUBA1B', 'TUBA1C')	12.5129	12.512900000000508	5.080380560684716e-13		0.0		0.0	9.078529278256923e-05	9.078529278256923e-05
('TUBA1B', 'TUBB3')	12.5129	12.512900000000508	5.080380560684716e-13		0.0		0.0	9.078529278256923e-05	9.078529278256923e-05
('TUBA1B', 'SLC10A2')	10.118904545454546	10.101344575579013	-0.0175599698755331	3.4	1.7623175182481752	-1.6376824817518247	0.00011956688330323763	0.0002706137694126579	0.00015104688610942027
('TUBA1B', 'EPHX1')	11.406300000000002	11.449682001815958	0.04338200181595653	4.5	2.2746350364963503	-2.2253649635036497	0.0002162972600733118	0.0002699649568249288	5.3667696751616987e-05
('TUBA1B', 'RRM1')	12.5129	12.512900000000508	5.080380560684716e-13		0.0		0.0	9.078529278256923e-05	9.078529278256923e-05
('TUBA1B', 'IGF2')	10.289954545454545	10.267885860190905	-0.022068685263640475	3.0	1.562956204379562	-1.437043795620438	0.00023762474195145814	0.0002694949488954288	3.187020694397067e-05
('TUBA1B', 'BRD4')	11.068913636363636	11.064496345892229	-0.004417290471407043	3.6	1.7694938440492476	-1.8305061559507525	0.00016029862990750166	0.00027024052248263234	0.00010994189257513068
('TUBA1B', 'SOX10')	12.5129	12.512900000000508	5.080380560684716e-13		0.0		0.0	9.078529278256923e-05	9.078529278256923e-05
('TUBA1B', 'XRCC1')	12.5129	12.512900000000508	5.080380560684716e-13		0.0		0.0	9.078529278256923e-05	9.078529278256923e-05
('TUBA1B', 'ERCC2')	10.069118181818181	9.99965086246053	-0.06946731935765094	4.1	1.9098996350364963	-2.190100364963503	0.00013984030065123374	0.00027060357841455595	0.0001307632777633222
('TUBA1B', 'KLK3')	10.664200000000001	10.743406876986182	0.07920687698618067	3.6	1.842609489051095	-1.7573905109489052	0.001982035831876331	0.0002611447096673297	-0.0017208911222090012
('TUBA1B', 'BARD1')	10.99749090909091	11.0219418293239	0.024450920232990114	3.7	1.979014598540146	-1.7209854014598542	0.00027536496283797466	0.00026978806112251815	-5.5769017154565096e-06
('TUBA1B', 'HNF4A')	10.12129090909091	10.435729822968922	0.31443891387801237	3.2	1.8667883211678833	-1.3332116788321169	0.0010681314791695044	0.0002498015454550432	-0.0008183299337144612
('TUBA1B', 'SPG7')	11.471922727272727	11.477332977757865	0.00541025048513788	5.2	2.486548107615139	-2.713451892384861	0.0001038799923238098	0.0002703484415340932	0.0001664684492102834
('TUBA1B', 'XRCC4')	12.5129	12.512900000000508	5.080380560684716e-13		0.0		0.0	9.078529278256923e-05	9.078529278256923e-05
('TUBA1B', 'RNF8')	11.305759090909092	11.462892056287126	0.15713296537803423	4.4	2.2657390510948905	-2.13426094890511	0.00017186079265563107	0.0002700818744989337	9.822108184330262e-05
('TUBA1B', 'MAP3K1')	9.54544090909091	9.587143281888588	0.04170237279767797	2.5	1.416514598540146	-1.083485401459854	0.00039376176295067536	0.0002685554907454196	-0.00012520627220525578
