model,bucket,n_candidates,n_known,recall@1,ndcg@1,recall@3,ndcg@3,recall@5,ndcg@5,recall@10,ndcg@10
LightGBM-LambdaMART,1,186,186,0.005376344086021506,1.0,0.016129032258064516,1.0,0.026881720430107527,0.9999999999999999,0.053763440860215055,1.0
LightGBM-LambdaMART,2,51,51,0.0196078431372549,1.0,0.058823529411764705,1.0,0.09803921568627451,0.9999999999999999,0.19607843137254902,1.0
LightGBM-LambdaMART,3,259,259,0.003861003861003861,1.0,0.011583011583011582,1.0,0.019305019305019305,0.9999999999999999,0.03861003861003861,1.0
LightGBM-LambdaMART,4,5,5,0.2,1.0,0.6,1.0,1.0,1.0,1.0,1.0
XGBoost-Pairwise,1,186,186,0.005376344086021506,1.0,0.016129032258064516,1.0,0.026881720430107527,0.9999999999999999,0.053763440860215055,1.0
XGBoost-Pairwise,2,51,51,0.0196078431372549,1.0,0.058823529411764705,1.0,0.09803921568627451,0.9999999999999999,0.19607843137254902,1.0
XGBoost-Pairwise,3,259,259,0.003861003861003861,1.0,0.011583011583011582,1.0,0.019305019305019305,0.9999999999999999,0.03861003861003861,1.0
XGBoost-Pairwise,4,5,5,0.2,1.0,0.6,1.0,1.0,1.0,1.0,1.0
Neural-MLP,1,186,186,0.005376344086021506,1.0,0.016129032258064516,1.0,0.026881720430107527,0.9999999999999999,0.053763440860215055,1.0
Neural-MLP,2,51,51,0.0196078431372549,1.0,0.058823529411764705,1.0,0.09803921568627451,0.9999999999999999,0.19607843137254902,1.0
Neural-MLP,3,259,259,0.003861003861003861,1.0,0.011583011583011582,1.0,0.019305019305019305,0.9999999999999999,0.03861003861003861,1.0
Neural-MLP,4,5,5,0.2,1.0,0.6,1.0,1.0,1.0,1.0,1.0
