gene_u,gene_v,bucket_pen,pen_diff,is_known,score,rank_in_bucket
TUBB3,EDNRB,1,0.6639211250986818,1,1.4315383963522974,78
KIR2DS4,HSPB2,1,0.7072876234813847,1,1.2267188228899315,92
SHMT1,FOXO1,1,0.7711142429411382,1,2.5305954141435096,39
HMMR,EPHX1,1,0.5951468353880394,1,4.113663949273792,8
TOP2A,MYB,1,0.7128593277387694,1,2.8593880119217796,25
FCGR3A,EPCAM,1,0.8217623502931666,1,-1.3119285246621313,175
TOP2A,RPSA,1,0.6446634124489599,1,-0.5184850123786412,168
TAF1,AKR7A2,1,0.7486484898158778,1,2.290312972768155,49
ATIC,IL1RN,1,0.7161446258417303,1,0.6924217966871116,127
ERCC1,NF2,1,0.743061320919999,1,1.6393029908809114,69
SULT2A1,ADA,1,0.6167898439552193,1,1.0053168206264593,105
IGFBP3,HMMR,1,0.6937755879013654,1,2.089496380843619,55
CDKN1A,CCNK,1,0.6615622890990149,1,1.7824453893280359,64
GNL3,CCNK,1,0.846000004371346,1,2.358359471182095,46
ERCC1,BRCA2,1,0.6754707710467471,1,0.9385528331633346,113
IGF2,DCK,1,0.714616321357088,1,2.9465714105876306,20
CCNK,FOXP3,1,0.8039470145995082,1,2.9996594517925925,18
ERCC1,MAD1L1,1,0.7089766893962466,1,2.9998119992345615,17
STMN1,TUBA3C,1,0.7985809030512883,1,1.7780583964667283,65
TNFAIP3,SLAMF1,1,0.718829617973924,1,1.348027055719332,83
ERCC1,MIR21,1,0.7163050550750683,1,0.2569130071613662,147
TP53AIP1,DKK1,1,0.8451322558793297,1,3.671160666438278,12
LRP2,CDH17,1,0.7303488788358852,1,0.9569043258705577,112
CDKN1B,SLC22A9,1,0.7367220080429888,1,1.2302786180349532,91
XRCC4,BCL2,1,0.8197000000003261,1,2.743214462383948,35
WEE1,ERCC1,1,0.6564435309033776,1,-0.6382883797194042,170
KLC1,MYB,1,0.7128593277387694,1,2.8593880119217796,26
HLA-G,HSPB2,1,0.648876226069028,1,0.9690043312412107,108
SOX10,BCL2,1,0.8197000000003261,1,2.743214462383948,36
ESR2,HSPB2,1,0.7586016631701806,1,0.26743234974155006,146
BAP1,STAG2,1,0.8260436991873288,1,-2.8701417966502327,184
TUBA1A,GSTM1,1,0.8555354685727377,1,-0.4242793612783977,167
DSCAM,EIF4EBP1,1,0.781780708541282,1,1.7835486572562704,63
TUBA1A,ERCC2,1,0.5994353439989268,1,4.353359387947958,1
CCNK,EPHX1,1,0.5951468353880394,1,4.113663949273792,9
S100A8,TAT,1,0.6462862378707843,1,0.056164340542267314,158
KLC1,PPP2R5D,1,0.7281209349596693,1,1.9934974054290642,58
MDM4,PERP,1,0.8236006534665314,1,1.3522017391513093,81
DSCAM,BARD1,1,0.6832368891514609,1,0.631345057288969,133
ERCC1,RNF8,1,0.6790848588166547,1,0.34190781245243806,140
BCL2,TUBA3C,1,0.8197000000003261,1,2.743214462383948,37
TUBA4A,MDM4,1,0.8236006534665314,1,1.3522017391513093,82
ALCAM,RBX1,1,0.6411834294959249,1,2.234272802277048,50
TP53AIP1,GSTP1,1,0.6783528367867646,1,1.4547538379270468,75
FANCA,EIF3A,1,0.7172457623047244,1,0.20829812976235737,149
SLC22A9,NOS3,1,0.5879132397940143,1,4.223164533498404,2
BMP7,PERP,1,0.5826019123178252,1,2.7489288063548742,31
MAP3K1,RRM1,1,0.7691434784512357,1,3.151477307896259,14
XRCC1,TNFRSF1A,1,0.7476308287440929,1,0.4919069733605881,135
BRD4,XRCC4,1,0.7852180610196395,1,2.373473587644115,45
ERCC1,GSTP1,1,0.6783528367867646,1,1.4547538379270468,76
SLC22A9,TLR4,1,0.7062418568059972,1,0.07907517508859395,154
TLR4,HSPB2,1,0.7062418568059972,1,0.07907517508859395,155
TUBA4A,EDNRB,1,0.6639211250986818,1,1.4315383963522974,79
TOP2A,GATA3,1,0.8131855275814104,1,1.0043207240320269,106
HGF,HSPB2,1,0.6052095047647335,1,2.480588975902968,41
LIG3,XPC,1,0.6498253081566219,1,1.1608996923283812,94
HMMR,NOS3,1,0.5879132397940143,1,4.223164533498404,3
SHMT1,IGFBP3,1,0.6937755879013654,1,2.089496380843619,56
DSCAM,LIF,1,0.6433993989862454,1,2.8619221399845243,22
GNL3,PERP,1,0.846000004371346,1,2.358359471182095,47
CETP,COL18A1,1,0.6976837835478467,1,-0.8821700266646562,172
HMGB1,MUTYH,1,0.7356960617190129,1,-0.6805264681047574,171
BMP7,PYGL,1,0.5826019123178252,1,2.7489288063548742,32
STAT1,ERCC1,1,0.74243179692313,1,0.2935508436042709,144
MYOD1,SDHB,1,0.7152443111289148,1,0.07321590131406512,156
GABPA,PPP1R13L,1,0.8359980723842817,1,1.3395726511598487,86
PLD2,CETP,1,0.647341555206193,1,1.6425335783054469,68
