gene_u,gene_v,bucket_pen,pen_diff,is_known,score,rank_in_bucket
TUBB3,EDNRB,1,0.6639211250986818,1,-0.2364102234435943,149
KIR2DS4,HSPB2,1,0.7072876234813847,1,0.4874261527488164,35
SHMT1,FOXO1,1,0.7711142429411382,1,0.016546573650790264,109
HMMR,EPHX1,1,0.5951468353880394,1,0.6054482365057816,19
TOP2A,MYB,1,0.7128593277387694,1,0.008234229418118605,111
FCGR3A,EPCAM,1,0.8217623502931666,1,-0.06712565912773993,123
TOP2A,RPSA,1,0.6446634124489599,1,0.4960193420637935,34
TAF1,AKR7A2,1,0.7486484898158778,1,-0.31441553996020855,167
ATIC,IL1RN,1,0.7161446258417303,1,-0.31470794596323715,168
ERCC1,NF2,1,0.743061320919999,1,-0.31329572482561985,164
SULT2A1,ADA,1,0.6167898439552193,1,0.2602315890059501,69
IGFBP3,HMMR,1,0.6937755879013654,1,-0.20267313879538396,142
CDKN1A,CCNK,1,0.6615622890990149,1,0.34976568386750684,55
GNL3,CCNK,1,0.846000004371346,1,0.3238136271972598,58
ERCC1,BRCA2,1,0.6754707710467471,1,0.27684408713608144,64
IGF2,DCK,1,0.714616321357088,1,-0.13737717782307685,134
CCNK,FOXP3,1,0.8039470145995082,1,0.3569213951692065,53
ERCC1,MAD1L1,1,0.7089766893962466,1,0.7254889015072804,11
STMN1,TUBA3C,1,0.7985809030512883,1,-0.4448052396131866,175
TNFAIP3,SLAMF1,1,0.718829617973924,1,-0.21807042353713987,144
ERCC1,MIR21,1,0.7163050550750683,1,-0.18118458190940773,138
TP53AIP1,DKK1,1,0.8451322558793297,1,0.5412284300274727,31
LRP2,CDH17,1,0.7303488788358852,1,0.3791644777864447,47
CDKN1B,SLC22A9,1,0.7367220080429888,1,0.1175997683792821,87
XRCC4,BCL2,1,0.8197000000003261,1,0.5597533468785609,23
WEE1,ERCC1,1,0.6564435309033776,1,-0.09875425720577086,131
KLC1,MYB,1,0.7128593277387694,1,0.008234229418118605,112
HLA-G,HSPB2,1,0.648876226069028,1,0.3751412154854905,48
SOX10,BCL2,1,0.8197000000003261,1,0.5597533468785609,24
ESR2,HSPB2,1,0.7586016631701806,1,-0.0674038329446113,124
BAP1,STAG2,1,0.8260436991873288,1,-0.0742155194191303,128
TUBA1A,GSTM1,1,0.8555354685727377,1,0.16339003794193774,78
DSCAM,EIF4EBP1,1,0.781780708541282,1,0.07702452916577518,97
TUBA1A,ERCC2,1,0.5994353439989268,1,0.06111138178981734,99
CCNK,EPHX1,1,0.5951468353880394,1,0.6054482365057816,20
S100A8,TAT,1,0.6462862378707843,1,-0.37899470132253726,174
KLC1,PPP2R5D,1,0.7281209349596693,1,0.16254793123252254,79
MDM4,PERP,1,0.8236006534665314,1,0.5005101564968111,32
DSCAM,BARD1,1,0.6832368891514609,1,0.11185081911832773,89
ERCC1,RNF8,1,0.6790848588166547,1,0.02852766458492695,104
BCL2,TUBA3C,1,0.8197000000003261,1,0.5597533468785609,25
TUBA4A,MDM4,1,0.8236006534665314,1,0.5005101564968111,33
ALCAM,RBX1,1,0.6411834294959249,1,-0.11453909957974112,132
TP53AIP1,GSTP1,1,0.6783528367867646,1,-0.2465464738986497,153
FANCA,EIF3A,1,0.7172457623047244,1,0.6658452484869718,15
SLC22A9,NOS3,1,0.5879132397940143,1,0.8796813811247373,5
BMP7,PERP,1,0.5826019123178252,1,0.19556530414342171,73
MAP3K1,RRM1,1,0.7691434784512357,1,1.0429107298384968,2
XRCC1,TNFRSF1A,1,0.7476308287440929,1,-0.16707943089845556,136
BRD4,XRCC4,1,0.7852180610196395,1,0.28133970483703696,63
ERCC1,GSTP1,1,0.6783528367867646,1,-0.2465464738986497,154
SLC22A9,TLR4,1,0.7062418568059972,1,-0.010707578668225637,114
TLR4,HSPB2,1,0.7062418568059972,1,-0.010707578668225637,115
TUBA4A,EDNRB,1,0.6639211250986818,1,-0.2364102234435943,150
TOP2A,GATA3,1,0.8131855275814104,1,1.1593343871895403,1
HGF,HSPB2,1,0.6052095047647335,1,0.11247274481185698,88
LIG3,XPC,1,0.6498253081566219,1,0.547177346324697,26
HMMR,NOS3,1,0.5879132397940143,1,0.8796813811247373,6
SHMT1,IGFBP3,1,0.6937755879013654,1,-0.20267313879538396,143
DSCAM,LIF,1,0.6433993989862454,1,-0.0712394391666632,125
GNL3,PERP,1,0.846000004371346,1,0.3238136271972598,59
CETP,COL18A1,1,0.6976837835478467,1,-0.643851829574231,180
HMGB1,MUTYH,1,0.7356960617190129,1,0.07114487271526287,98
BMP7,PYGL,1,0.5826019123178252,1,0.19556530414342171,74
STAT1,ERCC1,1,0.74243179692313,1,0.11991031255129714,85
MYOD1,SDHB,1,0.7152443111289148,1,0.040396651736967715,101
GABPA,PPP1R13L,1,0.8359980723842817,1,0.6979064131458912,13
PLD2,CETP,1,0.647341555206193,1,-0.2423777798669467,152
SHMT1,SMAD4,1,0.6134409520066253,1,0.20184003108597975,72
CASP7,TUBA1B,1,0.8360627305711787,1,0.46375269620591586,37
TUBA1A,LIF,1,0.6433993989862454,1,-0.0712394391666632,126
XRCC4,NOS3,1,0.5879132397940143,1,0.8796813811247373,7
TUBA1A,BRCA2,1,0.6754707710467471,1,0.27684408713608144,65
EXO1,HLA-G,1,0.648876226069028,1,0.3751412154854905,49
TOP2A,PIM1,1,0.7060605538074771,1,-0.3566407023139562,173
TP53AIP1,TSHB,1,0.6049783919052079,1,0.44942911512311534,40
TUBA1A,IGF2,1,0.714616321357088,1,-0.13737717782307685,135
EXO1,WNT5B,1,0.8211854773147866,1,-0.2561173757168749,156
ATRX,ZEB1,1,0.7400165136815922,1,-0.30883444012126493,163
TYMS,CES1,1,0.5951450847979523,1,0.6054738642191708,18
XPC,BRCA2,1,0.6754707710467471,1,0.27684408713608144,66
ACSS2,TUBA3C,1,0.7004993552761487,1,0.6367297619607296,16
ABCG1,CDC25C,1,0.6292941472159868,1,0.39518728139666126,43
PERP,CDC25C,1,0.6292941472159868,1,0.39518728139666126,44
TUBB3,MMP2,1,0.6827264664746675,1,-0.7564809725361438,185
BRCA2,CDH17,1,0.6754707710467471,1,0.27684408713608144,67
GADD45A,EIF3A,1,0.7212783591226248,1,0.1609528070000904,80
TP53AIP1,NQO1,1,0.7689475544194053,1,0.08869588098624537,92
S100A12,TNFAIP3,1,0.718829617973924,1,-0.21807042353713987,145
PTPRC,HMMR,1,0.6472538399338852,1,-0.012248339982185996,116
GAPDH,DHFR,1,0.696381104117819,1,-0.6857235703009966,182
XRCC4,CHN2,1,0.7584767702599606,1,0.12951225794243815,83
GABPA,GRP,1,0.6833201569196454,1,-0.29718621687279956,161
CASP7,RRM1,1,0.8360627305711787,1,0.46375269620591586,38
XPC,GSTP1,1,0.6783528367867646,1,-0.2465464738986497,155
GNL3,KLC1,1,0.846000004371346,1,0.3238136271972598,60
IL6R,ERCC1,1,0.725970226855809,1,-0.045620802608939776,118
BIRC5,CCNK,1,0.8192042464379501,1,-0.055327061596416316,120
AFP,AKR7A2,1,0.6295382332375024,1,0.09151307058388314,91
IL11,MUC2,1,0.6491996066092867,1,-0.2741307023391037,157
IL1RN,SLCO1B1,1,0.7161446258417303,1,-0.31470794596323715,169
SELE,CES1,1,0.6381081847192771,1,0.08478491663523813,95
XRCC1,MYB,1,0.7128593277387694,1,0.008234229418118605,113
CYP2B6,MUTYH,1,0.6229903619200847,1,0.2894805496290206,61
ERCC1,HLA-G,1,0.648876226069028,1,0.3751412154854905,50
TUBB3,SLC10A2,1,0.6414566767203116,1,-0.22606152345888675,147
RRM1,FHL2,1,0.8255864542358395,1,0.34380679288170923,57
SHMT1,NQO1,1,0.7689475544194053,1,0.08869588098624537,93
TUBB3,LIF,1,0.6433993989862454,1,-0.0712394391666632,127
CYP2B6,PERP,1,0.6252548977186692,1,0.036484601753698886,102
TUBA1A,ACSS2,1,0.7004993552761487,1,0.6367297619607296,17
LIG3,CCNK,1,0.6498253081566219,1,0.547177346324697,27
SELE,PERP,1,0.6381081847192771,1,0.08478491663523813,96
GABPA,FANCC,1,0.750204838709994,1,0.38147801180564445,46
PLD1,HSPB2,1,0.6357528761258582,1,-0.0554501369617863,121
ABCG1,NOS3,1,0.5879132397940143,1,0.8796813811247373,8
IL1RN,SLAMF1,1,0.7161446258417303,1,-0.31470794596323715,170
ERCC1,FOXO1,1,0.7711142429411382,1,0.016546573650790264,110
ATRX,NCF4,1,0.6941162273803396,1,-0.479712116266903,177
TP53AIP1,FOXP3,1,0.8039470145995082,1,0.3569213951692065,54
ERCC1,ATR,1,0.680063936970333,1,-0.3040723146105009,162
DSCAM,ETS2,1,0.7441094391995406,1,0.020224183996529477,108
LIG3,RRM1,1,0.6498253081566219,1,0.547177346324697,28
GABPA,BRCA2,1,0.6754707710467471,1,0.27684408713608144,68
ATRX,DAPK1,1,0.7949707251511349,1,-0.7524133051389215,183
EXO1,CHN2,1,0.7584767702599606,1,0.12951225794243815,84
TPT1,HMMR,1,0.7147288311918629,1,-0.644558156565932,181
CYP2B6,HMMR,1,0.6252548977186692,1,0.036484601753698886,103
BRCA1,TUBA3C,1,0.8328059555034262,1,0.5936270708515514,22
TUBB3,STMN1,1,0.7985809030512883,1,-0.4448052396131866,176
TOP2A,EZH2,1,0.7953350620686876,1,0.22562113800192662,70
XRCC1,LIG3,1,0.6498253081566219,1,0.547177346324697,29
SLAMF1,NOS3,1,0.5879132397940143,1,0.8796813811247373,9
ERCC1,IL5,1,0.6690928140575068,1,0.13275711098714482,82
IL11,ABCG1,1,0.6491996066092867,1,-0.2741307023391037,158
GADD45A,XPC,1,0.7212783591226248,1,0.1609528070000904,81
TUBA1A,MMP2,1,0.6827264664746675,1,-0.7564809725361438,186
