gene_u,gene_v,bucket_pen,pen_diff,is_known,score,rank_in_bucket
TUBB3,EDNRB,1,0.6639211250986818,1,0.8123935,95
KIR2DS4,HSPB2,1,0.7072876234813847,1,0.7796766,121
SHMT1,FOXO1,1,0.7711142429411382,1,0.78469163,115
HMMR,EPHX1,1,0.5951468353880394,1,0.8616466,33
TOP2A,MYB,1,0.7128593277387694,1,0.86791766,28
FCGR3A,EPCAM,1,0.8217623502931666,1,0.94800735,4
TOP2A,RPSA,1,0.6446634124489599,1,0.70338815,168
TAF1,AKR7A2,1,0.7486484898158778,1,0.8688889,26
ATIC,IL1RN,1,0.7161446258417303,1,0.7515978,137
ERCC1,NF2,1,0.743061320919999,1,0.581162,184
SULT2A1,ADA,1,0.6167898439552193,1,0.8318734,70
IGFBP3,HMMR,1,0.6937755879013654,1,0.85334194,41
CDKN1A,CCNK,1,0.6615622890990149,1,0.83473086,68
GNL3,CCNK,1,0.846000004371346,1,0.8229128,76
ERCC1,BRCA2,1,0.6754707710467471,1,0.72279596,154
IGF2,DCK,1,0.714616321357088,1,0.84160316,60
CCNK,FOXP3,1,0.8039470145995082,1,0.93557274,5
ERCC1,MAD1L1,1,0.7089766893962466,1,0.85956055,37
STMN1,TUBA3C,1,0.7985809030512883,1,0.8052214,98
TNFAIP3,SLAMF1,1,0.718829617973924,1,0.753249,133
ERCC1,MIR21,1,0.7163050550750683,1,0.75709534,129
TP53AIP1,DKK1,1,0.8451322558793297,1,0.75555485,131
LRP2,CDH17,1,0.7303488788358852,1,0.7812332,120
CDKN1B,SLC22A9,1,0.7367220080429888,1,0.8297313,71
XRCC4,BCL2,1,0.8197000000003261,1,0.8373025,62
WEE1,ERCC1,1,0.6564435309033776,1,0.78257936,119
KLC1,MYB,1,0.7128593277387694,1,0.86791766,29
HLA-G,HSPB2,1,0.648876226069028,1,0.71645653,159
SOX10,BCL2,1,0.8197000000003261,1,0.8373025,63
ESR2,HSPB2,1,0.7586016631701806,1,0.8463641,47
BAP1,STAG2,1,0.8260436991873288,1,0.83585995,67
TUBA1A,GSTM1,1,0.8555354685727377,1,0.8659132,32
DSCAM,EIF4EBP1,1,0.781780708541282,1,0.7334994,146
TUBA1A,ERCC2,1,0.5994353439989268,1,0.7544208,132
CCNK,EPHX1,1,0.5951468353880394,1,0.8616466,34
S100A8,TAT,1,0.6462862378707843,1,0.8294512,72
KLC1,PPP2R5D,1,0.7281209349596693,1,0.87711203,21
MDM4,PERP,1,0.8236006534665314,1,0.9011416,9
DSCAM,BARD1,1,0.6832368891514609,1,0.7314569,148
ERCC1,RNF8,1,0.6790848588166547,1,0.8191364,80
BCL2,TUBA3C,1,0.8197000000003261,1,0.8373025,64
TUBA4A,MDM4,1,0.8236006534665314,1,0.9011416,10
ALCAM,RBX1,1,0.6411834294959249,1,0.65033466,182
TP53AIP1,GSTP1,1,0.6783528367867646,1,0.79758424,102
FANCA,EIF3A,1,0.7172457623047244,1,0.8707446,23
SLC22A9,NOS3,1,0.5879132397940143,1,0.8418568,54
BMP7,PERP,1,0.5826019123178252,1,0.8163424,85
MAP3K1,RRM1,1,0.7691434784512357,1,0.92012525,8
XRCC1,TNFRSF1A,1,0.7476308287440929,1,0.8826864,15
BRD4,XRCC4,1,0.7852180610196395,1,0.6841505,176
ERCC1,GSTP1,1,0.6783528367867646,1,0.79758424,103
SLC22A9,TLR4,1,0.7062418568059972,1,0.868933,24
TLR4,HSPB2,1,0.7062418568059972,1,0.868933,25
TUBA4A,EDNRB,1,0.6639211250986818,1,0.8123935,96
TOP2A,GATA3,1,0.8131855275814104,1,0.9286171,7
HGF,HSPB2,1,0.6052095047647335,1,0.8663287,31
LIG3,XPC,1,0.6498253081566219,1,0.8451687,48
HMMR,NOS3,1,0.5879132397940143,1,0.8418568,55
SHMT1,IGFBP3,1,0.6937755879013654,1,0.85334194,42
DSCAM,LIF,1,0.6433993989862454,1,0.81389534,90
GNL3,PERP,1,0.846000004371346,1,0.8229128,77
CETP,COL18A1,1,0.6976837835478467,1,0.7520377,136
HMGB1,MUTYH,1,0.7356960617190129,1,0.82632905,74
BMP7,PYGL,1,0.5826019123178252,1,0.8163424,86
STAT1,ERCC1,1,0.74243179692313,1,0.75857353,127
MYOD1,SDHB,1,0.7152443111289148,1,0.81399375,89
GABPA,PPP1R13L,1,0.8359980723842817,1,0.88477373,13
PLD2,CETP,1,0.647341555206193,1,0.7758111,122
SHMT1,SMAD4,1,0.6134409520066253,1,0.89300257,11
CASP7,TUBA1B,1,0.8360627305711787,1,0.87998194,17
TUBA1A,LIF,1,0.6433993989862454,1,0.81389534,91
XRCC4,NOS3,1,0.5879132397940143,1,0.8418568,56
TUBA1A,BRCA2,1,0.6754707710467471,1,0.72279596,155
EXO1,HLA-G,1,0.648876226069028,1,0.71645653,160
TOP2A,PIM1,1,0.7060605538074771,1,0.74043494,143
TP53AIP1,TSHB,1,0.6049783919052079,1,0.8780071,20
TUBA1A,IGF2,1,0.714616321357088,1,0.84160316,61
EXO1,WNT5B,1,0.8211854773147866,1,0.7873811,114
ATRX,ZEB1,1,0.7400165136815922,1,0.6821909,177
TYMS,CES1,1,0.5951450847979523,1,0.8616466,35
XPC,BRCA2,1,0.6754707710467471,1,0.72279596,156
ACSS2,TUBA3C,1,0.7004993552761487,1,0.7878215,112
