g1,g2,g3,score
FOXA1,ERBB2,CR2,3.7214161685545126
FOXA1,ERBB2,PLCB2,3.7214161685545126
FOXA1,ERBB2,MDM2,3.7214161685545126
FOXA1,ERBB2,NGF,3.7214161685545126
FOXA1,ERBB2,PDCD6IP,3.7214161685545126
FOXA1,ERBB2,LYN,3.7214161685545126
FOXA1,ERBB2,BACE1,3.7214161685545126
FOXA1,ERBB2,FBXO43,3.7214161685545126
FOXA1,ERBB2,GNA14,3.7214161685545126
FOXA1,ERBB2,DNTT,3.7214161685545126
FOXA1,ERBB2,F3,3.7214161685545126
FOXA1,ERBB2,MICB,3.7214161685545126
FOXA1,ERBB2,HPSE,3.7214161685545126
FOXA1,ERBB2,CDC45L,3.7214161685545126
FOXA1,ERBB2,TIMP2,3.7214161685545126
ESR1,PIK3CA,FGF22,3.6745442860583593
ESR1,PIK3CA,CFTR,3.6745442860583593
ESR1,PIK3CA,DNTT,3.6745442860583593
ESR1,PIK3CA,PON1,3.6745442860583593
ESR1,PIK3CA,ZBTB16,3.6745442860583593
ESR1,PIK3CA,CDK1,3.6745442860583593
ESR1,PIK3CA,PTGER2,3.6745442860583593
ESR1,PIK3CA,VLDLR,3.6745442860583593
ESR1,PIK3CA,HSPA5,3.6745442860583593
ESR1,PIK3CA,MAPT,3.6745442860583593
ESR1,PIK3CA,FGF20,3.6745442860583593
ESR1,PIK3CA,PLAGL2,3.6745442860583593
ESR1,PIK3CA,PLCG1,3.6745442860583593
ESR1,PIK3CA,SV2A,3.6745442860583593
ESR1,PIK3CA,CCL11,3.6745442860583593
PRDX4,CCND1,CDSN,3.657154438994402
CCND1,EIF3A,GSR,3.657154438994402
CCND1,EIF3A,CDSN,3.657154438994402
CCND1,EIF3A,SHMT1,3.657154438994402
CCND1,EIF3A,AVP,3.657154438994402
CCND1,EIF3A,PRDX4,3.657154438994402
PRDX4,CCND1,ABCG1,3.657154438994402
PRDX4,CCND1,TUBA1B,3.657154438994402
PRDX4,CCND1,CYP19A1,3.657154438994402
CCND1,EIF3A,POLR2H,3.657154438994402
PRDX4,CCND1,IKZF1,3.657154438994402
PRDX4,CCND1,NFE2,3.657154438994402
PRDX4,CCND1,SLC22A9,3.657154438994402
CCND1,EIF3A,POLR2I,3.657154438994402
CCND1,PYGL,SDHB,3.657154438994402
CCND1,EIF3A,IKZF1,3.657154438994402
CCND1,EIF3A,ADIPOQ,3.657154438994402
CCND1,EIF3A,AKT1,3.657154438994402
CCND1,EIF3A,NPSR1,3.657154438994402
