g1,g2,g3,score
CR2,ERBB2,FOXA1,3.7214161685545126
ERBB2,FOXA1,GNA14,3.7214161685545126
ERBB2,FOXA1,PLCB2,3.7214161685545126
ERBB2,FOXA1,TIMP2,3.7214161685545126
CDC45L,ERBB2,FOXA1,3.7214161685545126
ERBB2,FOXA1,HPSE,3.7214161685545126
ERBB2,F3,FOXA1,3.7214161685545126
DNTT,ERBB2,FOXA1,3.7214161685545126
ERBB2,FOXA1,MICB,3.7214161685545126
ERBB2,FBXO43,FOXA1,3.7214161685545126
BACE1,ERBB2,FOXA1,3.7214161685545126
ERBB2,FOXA1,LYN,3.7214161685545126
ERBB2,FOXA1,PDCD6IP,3.7214161685545126
ERBB2,FOXA1,NGF,3.7214161685545126
ERBB2,FOXA1,MDM2,3.7214161685545126
ESR1,PIK3CA,VLDLR,3.6745442860583593
CCL11,ESR1,PIK3CA,3.6745442860583593
ESR1,PIK3CA,SV2A,3.6745442860583593
ESR1,PIK3CA,PLAGL2,3.6745442860583593
ESR1,FGF20,PIK3CA,3.6745442860583593
ESR1,MAPT,PIK3CA,3.6745442860583593
ESR1,HSPA5,PIK3CA,3.6745442860583593
ESR1,PIK3CA,PLCG1,3.6745442860583593
ESR1,PIK3CA,PTGER2,3.6745442860583593
ESR1,PIK3CA,ZBTB16,3.6745442860583593
ESR1,PIK3CA,PON1,3.6745442860583593
DNTT,ESR1,PIK3CA,3.6745442860583593
CFTR,ESR1,PIK3CA,3.6745442860583593
ESR1,FGF22,PIK3CA,3.6745442860583593
CDK1,ESR1,PIK3CA,3.6745442860583593
AKR7A2,CCND1,TUBA1B,3.657154438994402
AKR7A2,CCND1,HMMR,3.657154438994402
AKR7A2,CCND1,LPAR3,3.657154438994402
AKR7A2,CCND1,PIK3C2B,3.657154438994402
AKR7A2,CCND1,CSF2,3.657154438994402
AKR7A2,CCL4,CCND1,3.657154438994402
AKR7A2,CCND1,ERCC1,3.657154438994402
ATRX,CCND1,CES1,3.657154438994402
AKR7A2,AKT1,CCND1,3.657154438994402
AKR7A2,CCND1,TUBA4A,3.657154438994402
AKR7A2,CALCA,CCND1,3.657154438994402
AP1S2,CCND1,CCNK,3.657154438994402
ATRX,CCND1,HNF4A,3.657154438994402
CCND1,CCNK,LIG3,3.657154438994402
AKR7A2,CCND1,CCNK,3.657154438994402
CCND1,CCNK,GNAS,3.657154438994402
CCND1,CCNK,TUBA3C,3.657154438994402
CCND1,CCNK,DNMT1,3.657154438994402
CCND1,CCNK,EIF3A,3.657154438994402
ATRX,CCND1,POLR2E,3.657154438994402
ATRX,CCND1,FBXW7,3.657154438994402
ATRX,CCND1,CCNK,3.657154438994402
ATRX,CCND1,GNAS,3.657154438994402
AKR7A2,CCND1,IKZF3,3.657154438994402
CCND1,SULT2A1,TUBA3C,3.657154438994402
ATRX,CCND1,TOP2A,3.657154438994402
AP1S2,ATRX,CCND1,3.657154438994402
AKR7A2,CCND1,XRCC4,3.657154438994402
CCND1,KLC1,TPPP,3.657154438994402
CCND1,FANCA,SULT2A1,3.657154438994402
CCND1,CYP19A1,SULT2A1,3.657154438994402
CCND1,SOX4,SULT2A1,3.657154438994402
CCND1,SULT2A1,TP53AIP1,3.657154438994402
CCND1,POLR2E,SULT2A1,3.657154438994402
CCND1,SULT2A1,TUBA4A,3.657154438994402
ATRX,CCND1,TUBA1C,3.657154438994402
CCND1,CETP,SULT2A1,3.657154438994402
CCND1,ESR1,SULT2A1,3.657154438994402
CCND1,KCNA1,SULT2A1,3.657154438994402
CCND1,SULT2A1,TUBB3,3.657154438994402
CCND1,SLAMF1,SULT2A1,3.657154438994402
CCND1,FANCF,SULT2A1,3.657154438994402
CCND1,PRKACG,SULT2A1,3.657154438994402
CCND1,CCNK,CSF2,3.657154438994402
CCND1,CCNK,SOX10,3.657154438994402
CCND1,CCNK,HMMR,3.657154438994402
CCND1,CCNK,RRM1,3.657154438994402
ATRX,CCND1,TUBB3,3.657154438994402
ATRX,CCND1,PPM1D,3.657154438994402
CCND1,NCOA3,SLAMF1,3.657154438994402
ATRX,CCND1,NCOA3,3.657154438994402
ATIC,BGLAP,CCND1,3.657154438994402
BGLAP,CALM1,CCND1,3.657154438994402
BGLAP,CCND1,S100A12,3.657154438994402
BGLAP,CCND1,NFE2,3.657154438994402
AVP,BGLAP,CCND1,3.657154438994402
BGLAP,CCND1,IRS4,3.657154438994402
BGLAP,CCND1,RRM1,3.657154438994402
CCND1,HSPB2,POLR2I,3.657154438994402
CCND1,HSPB2,IKZF1,3.657154438994402
CCND1,HMMR,PIK3C2B,3.657154438994402
CCND1,NPPC,PIK3C2A,3.657154438994402
CCND1,GNAS,HMMR,3.657154438994402
CCND1,HMMR,NFE2,3.657154438994402
CCND1,HMMR,IFNA1,3.657154438994402
CCND1,HMMR,RBP1,3.657154438994402
CCND1,HMMR,TP53AIP1,3.657154438994402
CCND1,HMMR,POLR2E,3.657154438994402
CCND1,HMMR,SDHB,3.657154438994402
CCND1,HMMR,SLCO1B1,3.657154438994402
CCND1,HMMR,NCOA3,3.657154438994402
CCL4,CCND1,HMMR,3.657154438994402
CCND1,PIK3C2A,S100A12,3.657154438994402
