model,bucket,n_candidates,n_known,recall@1,ndcg@1,recall@3,ndcg@3,recall@5,ndcg@5,recall@10,ndcg@10
LightGBM-LambdaMART,0,2,2,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LightGBM-LambdaMART,1,67,67,0.014925373134328358,1.0,0.04477611940298507,1.0,0.07462686567164178,0.9999999999999999,0.14925373134328357,1.0
LightGBM-LambdaMART,2,14,14,0.07142857142857142,1.0,0.21428571428571427,1.0,0.35714285714285715,1.0,0.7142857142857143,1.0
LightGBM-LambdaMART,3,1,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
XGBoost-Pairwise,0,2,2,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost-Pairwise,1,67,67,0.014925373134328358,1.0,0.04477611940298507,1.0,0.07462686567164178,0.9999999999999999,0.14925373134328357,1.0
XGBoost-Pairwise,2,14,14,0.07142857142857142,1.0,0.21428571428571427,1.0,0.35714285714285715,1.0,0.7142857142857143,1.0
XGBoost-Pairwise,3,1,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Neural-MLP,0,2,2,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Neural-MLP,1,67,67,0.014925373134328358,1.0,0.04477611940298507,1.0,0.07462686567164178,0.9999999999999999,0.14925373134328357,1.0
Neural-MLP,2,14,14,0.07142857142857142,1.0,0.21428571428571427,1.0,0.35714285714285715,1.0,0.7142857142857143,1.0
Neural-MLP,3,1,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
