gene_u,gene_v,bucket_pen,pen_diff,is_known,score,rank_in_bucket
NR3C1,MBP,0,-0.2081621590393334,1,0.93765664,1
VWF,IFNG,0,-0.3054769219659254,1,0.7608027,2
TOP2A,PIM1,1,0.0420113811746816,1,0.969613,35
PON1,BCL2,1,0.045337560351589,1,0.88608265,47
APOE,ITGB2,1,0.0846585255643095,1,0.4069154,66
BRD4,GAS6,1,0.044237537655265,1,0.9021772,44
TOP2A,MYCN,1,0.0421773387531878,1,0.98537004,22
ANXA1,BMP7,1,-0.007816624025084,1,0.8846073,48
PON1,RBX1,1,0.1036237506705752,1,0.93424904,41
BIRC5,FOXP3,1,-0.0962716357859072,1,0.95073533,37
BARD1,FBXW7,1,-0.0055144864441061,1,0.8555879,49
TUBA1A,ACSS2,1,0.0405411133580777,1,0.99859077,1
IRS1,CCNK,1,-0.0335650703583496,1,0.94307864,39
TUBB3,BARD1,1,0.0244509202329901,1,0.9949479,10
TUBA1A,BCL2,1,0.0133790389141275,1,0.9956232,7
BARD1,NR1I3,1,0.095143535674488,1,0.65232503,58
TUBB3,EPHX1,1,0.0433820018159565,1,0.99853194,3
VWF,APOE,1,0.0011851566046274,1,0.946435,38
MAP3K1,NR1I3,1,0.1123949882391759,1,0.47877282,63
BIRC5,CCNK,1,-0.0210515247800007,1,0.9825617,24
PTPRC,MC2R,1,0.0290571926714005,1,0.96420336,36
SLC10A2,RRM1,1,-0.0175599698755331,1,0.99479276,12
GSTM1,BMP7,1,0.1244904469112331,1,0.56499696,61
BIRC5,NOS3,1,0.1048279247307277,1,0.89285725,46
GATA3,MBP,1,-0.0614424916436249,1,0.8158184,50
MDM4,HMMR,1,0.0036424937071757,1,0.99006253,17
BCL2,PPP2R5D,1,-0.0236936347129939,1,0.9837864,23
TUBA1B,IGF2,1,-0.0220686852636404,1,0.97737294,28
MDM4,GAS6,1,0.0522973218338496,1,0.70574397,57
BRD4,MAP3K1,1,0.0372850823257628,1,0.4324917,64
SOX10,MAP3K1,1,0.0417023727976779,1,0.971705,31
BRD4,KLK3,1,0.0747895865142656,1,0.9214411,42
ERCC2,ACTR2,1,-0.0694673193576509,1,0.99823135,4
XRCC1,BARD1,1,0.0244509202329901,1,0.9949479,11
TUBA1B,ACSS2,1,0.0405411133580777,1,0.99859077,2
TUBB3,MAP3K1,1,0.0417023727976779,1,0.971705,32
SLIT1,MYCN,1,0.067271105517257,1,0.5272442,62
MC2R,APOE,1,0.0313491396032787,1,0.9823691,27
XRCC4,MAP3K1,1,0.0417023727976779,1,0.971705,33
TP53AIP1,RBX1,1,0.0716652292331154,1,0.99033445,15
ERCC2,FBXW7,1,-0.0994327260347507,1,0.9725229,30
BARD1,BCL2,1,0.0378299591466113,1,0.79601425,52
TOP2A,MDM4,1,0.0036424937071757,1,0.99006253,18
IGF2,TUB,1,0.0957830314034637,1,0.5894269,60
TUBA1B,ERCC2,1,-0.0694673193576509,1,0.99823135,5
PON1,CCNK,1,0.0319585214379678,1,0.9012948,45
PTPRC,CALCA,1,-0.0006338278380768,1,0.43225226,65
TUBA4A,NR1I3,1,0.0706926154420042,1,0.9903019,16
TOP2A,PLA2G6,1,-0.0932619877850022,1,0.98899776,19
TUBA1B,BRD4,1,-0.004417290471407,1,0.99115795,14
SPG7,NR1I3,1,0.076102865926634,1,0.9044833,43
BIRC5,TP53AIP1,1,-0.0210515247800007,1,0.9825617,25
SOX10,BCL2,1,0.0133790389141275,1,0.9956232,8
PTPRC,BMP7,1,0.0131798497916015,1,0.7997792,51
PAPOLA,IGF2,1,-0.0220686852636404,1,0.97737294,29
ERCC2,BARD1,1,-0.0450163991251688,1,0.7450764,54
GSTM1,IFNG,1,-0.134945149176751,1,0.7283942,56
TOP2A,BIRC5,1,-0.0210515247800007,1,0.9825617,26
TOP2A,SLIT1,1,0.0250937667645736,1,0.9867401,21
IRS1,PPP2R5D,1,-0.0706377439854719,1,0.61202204,59
TUBA1A,FBXW7,1,-0.0299654066765917,1,0.9950877,9
ANXA1,TG,1,0.0313709218833793,1,0.79508525,53
IRS1,PERP,1,-0.0335650703583496,1,0.94307864,40
GDF15,MYCN,1,0.0931596913299976,1,0.37446865,67
PON1,MDM4,1,0.0356010151446355,1,0.74264413,55
PAPOLA,PLA2G1B,1,-0.0341589794905292,1,0.99385554,13
PAPOLA,ITGAL,1,0.0239371229317928,1,0.9963819,6
PON1,PPP2R5D,1,-0.0051141521891526,1,0.9701661,34
NCOA1,ACTR2,1,0.0177434283830439,1,0.9887116,20
MYCN,BRCA2,2,0.2733914166632161,1,0.64979964,9
SLIT1,NCOA3,2,0.2297062394255675,1,0.4917762,11
SOX10,RNF8,2,0.1571329653780342,1,0.99842846,1
TOP2A,FOXO1,2,0.1631525110389198,1,0.9706372,3
XRCC4,RNF8,2,0.1571329653780342,1,0.99842846,2
TNFSF13B,ITGAL,2,0.2920860314447164,1,0.55193496,10
HNF4A,NR1I3,2,0.3851315293195103,1,0.42535228,13
KLK3,HNF4A,2,0.3936457908636868,1,0.683045,8
KLK3,BRCA2,2,0.3104209548962089,1,0.9289142,5
RNF8,MDM4,2,0.1607754590847037,1,0.7421601,7
KLK3,NR1I3,2,0.1498994924276786,1,0.8983018,6
TNFSF13B,KLK3,2,0.3473557854991043,1,0.94645816,4
NCOA1,BRCA2,2,0.2489575062930686,1,0.46255898,12
SLC10A2,HNF4A,2,0.2968789440019712,1,0.05821712,14
TNFSF13B,BRCA2,3,0.4993629864234563,1,0.37656152,1
