g1,g2,g3,score
ACVR1,MC2R,PSMC5,0.7929018940668361
CASP10,CX3CL1,TUBA1A,0.7929018940668361
CASP10,NFE2L2,RRM1,0.7929018940668361
CASP10,TOP2A,TUBA1C,0.7929018940668361
CASP10,MC2R,TUBA1C,0.7929018940668361
ACTR2,CASP10,TUBA1C,0.7929018940668361
CASP10,SOX10,TUBA1C,0.7929018940668361
ACVR1,CASP10,SOX10,0.7929018940668361
CASP10,MC2R,SOX10,0.7929018940668361
CASP10,COPS5,SOX10,0.7929018940668361
CASP10,SOX10,XRCC4,0.7929018940668361
CASP10,PRKAB1,TUBA1A,0.7929018940668361
CASP10,TUBA1A,TUBA1C,0.7929018940668361
CASP10,CYP17A1,RRM1,0.7929018940668361
CASP10,NOTCH1,RRM1,0.7929018940668361
CASP10,PERP,TUBA1A,0.7929018940668361
CASP10,SOX10,TUBA1A,0.7929018940668361
CASP10,NFE2L2,TUBA1A,0.7929018940668361
CASP10,TUBA1A,TUBB3,0.7929018940668361
CASP10,NOTCH1,TUBA1A,0.7929018940668361
CASP10,CYP17A1,TUBA1A,0.7929018940668361
CASP10,CRH,TUBA1A,0.7929018940668361
CASP10,PLA2G1B,TUBA1A,0.7929018940668361
CASP10,HMMR,XRCC4,0.7929018940668361
CASP10,DNMT1,RRM1,0.7929018940668361
ACVR1,CASP10,RRM1,0.7929018940668361
ACTR2,IL21,PERP,0.7929018940668361
CASP10,TOP2A,TUBB3,0.7929018940668361
CASP10,CYP17A1,PRDX4,0.7929018940668361
CASP10,IFNAR2,PRDX4,0.7929018940668361
CASP10,PLA2G1B,PRDX4,0.7929018940668361
CASP10,CRH,TUBB3,0.7929018940668361
CASP10,CDK1,TUBB3,0.7929018940668361
ACVR1,CASP10,TUBB3,0.7929018940668361
CASP10,SOX10,TUBB3,0.7929018940668361
CASP10,NOTCH1,TUBB3,0.7929018940668361
CASP10,IFNAR1,TUBB3,0.7929018940668361
CASP10,PRKAB1,TUBB3,0.7929018940668361
CASP10,TUBB3,XRCC4,0.7929018940668361
CASP10,RRM1,TUBB3,0.7929018940668361
CASP10,RFX5,SOX10,0.7929018940668361
APP,CASP10,SOX10,0.7929018940668361
CASP10,IL21,SOX10,0.7929018940668361
CASP10,TUBA1C,UBQLN1,0.7929018940668361
CASP10,PLA2G1B,TUBA1C,0.7929018940668361
CASP10,MAP3K7,TUBA1C,0.7929018940668361
CASP10,CYP17A1,TUBA1C,0.7929018940668361
CASP10,MBNL1,TUBA1C,0.7929018940668361
CASP10,IFNAR1,TUBA1C,0.7929018940668361
CASP10,RRM1,SOX10,0.7929018940668361
CASP10,TUBA1C,XRCC4,0.7929018940668361
IL21,PRDX4,TUBB3,0.7929018940668361
CASP10,GNRHR2,PRDX4,0.7929018940668361
ACVR1,IL21,TP53AIP1,0.7929018940668361
IL21,MAP3K7,PERP,0.7929018940668361
IL21,PERP,RHOC,0.7929018940668361
ACTR2,IL21,UBQLN1,0.7929018940668361
ACTR2,COPS5,IL21,0.7929018940668361
ACTR2,CRH,IL21,0.7929018940668361
IFNAR1,IL21,TP53AIP1,0.7929018940668361
IL21,TP53AIP1,XRCC1,0.7929018940668361
HMMR,IL21,TP53AIP1,0.7929018940668361
DEK,IL21,TP53AIP1,0.7929018940668361
IL21,MBNL1,TP53AIP1,0.7929018940668361
COPS5,IL21,TP53AIP1,0.7929018940668361
IL21,PERP,TUBA1B,0.7929018940668361
IL21,TP53AIP1,UBQLN1,0.7929018940668361
CASP10,IL21,TP53AIP1,0.7929018940668361
IL21,PRDX4,TP53AIP1,0.7929018940668361
IL21,RHOC,TP53AIP1,0.7929018940668361
CX3CL1,IL21,TP53AIP1,0.7929018940668361
CX3CL1,CYP17A1,IL21,0.7929018940668361
ACVR1,CYP17A1,IL21,0.7929018940668361
CYP17A1,IL21,PRDX4,0.7929018940668361
CYP17A1,IL21,MC2R,0.7929018940668361
IL21,RUNX1,TP53AIP1,0.7929018940668361
IL21,PERP,PLA2G1B,0.7929018940668361
DNMT1,IL21,PERP,0.7929018940668361
IL21,TUBA4A,TUBB3,0.7929018940668361
ACTR2,CASP10,IL21,0.7929018940668361
IL21,TP53AIP1,TUBB3,0.7929018940668361
IL21,RFX5,TUBB3,0.7929018940668361
IL21,TOP2A,TUBB3,0.7929018940668361
IL21,NCKAP1L,TUBB3,0.7929018940668361
IL21,MC2R,TUBB3,0.7929018940668361
APP,IL21,TUBB3,0.7929018940668361
COPS5,IL21,TUBB3,0.7929018940668361
ACTR2,IL21,SOX10,0.7929018940668361
ACTR2,IL21,TUBB3,0.7929018940668361
IL21,IRS1,PERP,0.7929018940668361
IL21,PERP,XRCC4,0.7929018940668361
IL21,PERP,PRDX4,0.7929018940668361
IL21,MBNL1,TUBB3,0.7929018940668361
IL21,MBNL1,UBQLN1,0.7929018940668361
IL21,MBNL1,PRDX4,0.7929018940668361
IL21,MAP3K7,MBNL1,0.7929018940668361
